"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-08-01","1999-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","63"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-09-01","1999-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","85"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-10-01","1999-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","108"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-11-01","1999-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","85"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-12-01","1999-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","125"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-01-01","2000-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","183"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-02-01","2000-02-29","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","187"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-03-01","2000-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","195"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-04-01","2000-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","186"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-05-01","2000-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","226"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-06-01","2000-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","241"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-07-01","2000-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","338"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-08-01","2000-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","309"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-09-01","2000-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","287"
